n_accepted,coverage,selective_risk,threshold_confidence
299,0.261364,0.237458,0.75
300,0.262238,0.24,0.72
301,0.263112,0.242525,0.72
302,0.263986,0.245033,0.72
303,0.26486,0.247525,0.72
304,0.265734,0.246711,0.72
305,0.266608,0.245902,0.72
306,0.267483,0.245098,0.72
307,0.268357,0.2443,0.72
308,0.269231,0.246753,0.72
309,0.270105,0.245955,0.72
310,0.270979,0.248387,0.72
311,0.271853,0.247588,0.72
312,0.272727,0.25,0.72
313,0.273601,0.249201,0.72
314,0.274476,0.248408,0.72
315,0.27535,0.247619,0.72
316,0.276224,0.246835,0.72
317,0.277098,0.246057,0.72
318,0.277972,0.245283,0.72
319,0.278846,0.244514,0.72
320,0.27972,0.24375,0.72
321,0.280594,0.246106,0.72
322,0.281469,0.248447,0.72
323,0.282343,0.247678,0.72
324,0.283217,0.246914,0.72
325,0.284091,0.249231,0.72
326,0.284965,0.248466,0.72
327,0.285839,0.250765,0.72
328,0.286713,0.25,0.72
329,0.287587,0.24924,0.72
330,0.288462,0.248485,0.72
331,0.289336,0.247734,0.72
332,0.29021,0.246988,0.72
333,0.291084,0.246246,0.72
334,0.291958,0.245509,0.72
335,0.292832,0.244776,0.72
336,0.293706,0.247024,0.72
337,0.29458,0.246291,0.72
338,0.295455,0.245562,0.72
339,0.296329,0.244838,0.72
340,0.297203,0.244118,0.72
341,0.298077,0.243402,0.72
342,0.298951,0.24269,0.72
343,0.299825,0.241983,0.72
344,0.300699,0.241279,0.72
345,0.301573,0.243478,0.72
346,0.302448,0.242775,0.72
347,0.303322,0.242075,0.72
348,0.304196,0.241379,0.72
349,0.30507,0.240688,0.72
350,0.305944,0.242857,0.72
351,0.306818,0.242165,0.72
352,0.307692,0.244318,0.72
353,0.308566,0.246459,0.72
354,0.309441,0.245763,0.72
355,0.310315,0.247887,0.72
356,0.311189,0.25,0.72
357,0.312063,0.2493,0.72
358,0.312937,0.248603,0.72
359,0.313811,0.250696,0.72
360,0.314685,0.252778,0.72
361,0.315559,0.254848,0.72
362,0.316434,0.256906,0.72
363,0.317308,0.258953,0.72
364,0.318182,0.258242,0.72
365,0.319056,0.260274,0.72
366,0.31993,0.262295,0.72
367,0.320804,0.26158,0.72
368,0.321678,0.26087,0.72
369,0.322552,0.262873,0.72
370,0.323427,0.264865,0.72
371,0.324301,0.264151,0.72
372,0.325175,0.266129,0.72
373,0.326049,0.268097,0.72
374,0.326923,0.270053,0.72
375,0.327797,0.269333,0.72
376,0.328671,0.271277,0.72
377,0.329545,0.270557,0.72
378,0.33042,0.272487,0.72
379,0.331294,0.271768,0.72
380,0.332168,0.271053,0.72
381,0.333042,0.270341,0.72
382,0.333916,0.269634,0.72
383,0.33479,0.26893,0.72
384,0.335664,0.270833,0.72
385,0.336538,0.27013,0.72
386,0.337413,0.26943,0.72
387,0.338287,0.271318,0.72
388,0.339161,0.273196,0.72
389,0.340035,0.272494,0.72
390,0.340909,0.271795,0.71
391,0.341783,0.273657,0.71
392,0.342657,0.27551,0.7
393,0.343531,0.277354,0.7
394,0.344406,0.27665,0.7
395,0.34528,0.275949,0.7
396,0.346154,0.275253,0.7
397,0.347028,0.274559,0.7
398,0.347902,0.273869,0.7
399,0.348776,0.273183,0.7
400,0.34965,0.2725,0.7
401,0.350524,0.27182,0.7
402,0.351399,0.271144,0.7
403,0.352273,0.270471,0.7
404,0.353147,0.269802,0.7
405,0.354021,0.271605,0.7
406,0.354895,0.270936,0.7
407,0.355769,0.27027,0.7
408,0.356643,0.269608,0.7
409,0.357517,0.268949,0.7
410,0.358392,0.270732,0.7
411,0.359266,0.272506,0.7
412,0.36014,0.274272,0.7
413,0.361014,0.276029,0.7
414,0.361888,0.275362,0.7
415,0.362762,0.274699,0.7
416,0.363636,0.276442,0.7
417,0.36451,0.278177,0.7
418,0.365385,0.279904,0.7
419,0.366259,0.279236,0.7
420,0.367133,0.278571,0.7
421,0.368007,0.27791,0.7
422,0.368881,0.277251,0.7
423,0.369755,0.276596,0.7
424,0.370629,0.275943,0.68
425,0.371503,0.277647,0.68
426,0.372378,0.276995,0.68
427,0.373252,0.278689,0.68
428,0.374126,0.278037,0.68
429,0.375,0.277389,0.68
430,0.375874,0.276744,0.68
431,0.376748,0.276102,0.68
432,0.377622,0.277778,0.68
433,0.378497,0.279446,0.68
434,0.379371,0.281106,0.68
435,0.380245,0.282759,0.68
436,0.381119,0.28211,0.68
437,0.381993,0.281465,0.68
438,0.382867,0.280822,0.68
439,0.383741,0.28246,0.68
440,0.384615,0.281818,0.68
441,0.38549,0.281179,0.68
442,0.386364,0.282805,0.68
443,0.387238,0.282167,0.68
444,0.388112,0.281532,0.68
445,0.388986,0.280899,0.68
446,0.38986,0.280269,0.68
447,0.390734,0.279642,0.68
448,0.391608,0.28125,0.68
449,0.392483,0.280624,0.68
450,0.393357,0.282222,0.68
451,0.394231,0.281596,0.68
452,0.395105,0.280973,0.68
453,0.395979,0.280353,0.68
454,0.396853,0.281938,0.68
455,0.397727,0.281319,0.68
456,0.398601,0.280702,0.68
457,0.399476,0.282276,0.68
458,0.40035,0.281659,0.67
459,0.401224,0.281046,0.67
460,0.402098,0.280435,0.66
461,0.402972,0.281996,0.65
462,0.403846,0.28355,0.65
463,0.40472,0.285097,0.65
464,0.405594,0.286638,0.65
465,0.406469,0.286022,0.65
466,0.407343,0.285408,0.65
467,0.408217,0.286938,0.65
468,0.409091,0.288462,0.65
469,0.409965,0.287846,0.65
470,0.410839,0.289362,0.65
471,0.411713,0.288747,0.65
472,0.412587,0.290254,0.65
473,0.413462,0.289641,0.65
474,0.414336,0.28903,0.65
475,0.41521,0.288421,0.65
476,0.416084,0.287815,0.65
477,0.416958,0.287212,0.65
478,0.417832,0.286611,0.65
479,0.418706,0.2881,0.65
480,0.41958,0.289583,0.65
481,0.420455,0.288981,0.65
482,0.421329,0.288382,0.65
483,0.422203,0.287785,0.65
484,0.423077,0.28719,0.65
485,0.423951,0.286598,0.65
486,0.424825,0.286008,0.65
487,0.425699,0.285421,0.65
488,0.426573,0.284836,0.65
489,0.427448,0.284254,0.65
490,0.428322,0.283673,0.65
491,0.429196,0.283096,0.65
492,0.43007,0.28252,0.65
493,0.430944,0.283976,0.65
494,0.431818,0.285425,0.65
495,0.432692,0.284848,0.65
496,0.433566,0.284274,0.65
497,0.434441,0.283702,0.65
498,0.435315,0.283133,0.65
499,0.436189,0.282565,0.65
500,0.437063,0.282,0.65
501,0.437937,0.281437,0.65
502,0.438811,0.280876,0.65
503,0.439685,0.282306,0.65
504,0.440559,0.281746,0.65
505,0.441434,0.281188,0.65
506,0.442308,0.280632,0.65
507,0.443182,0.282051,0.65
508,0.444056,0.281496,0.65
509,0.44493,0.282908,0.65
510,0.445804,0.282353,0.65
511,0.446678,0.2818,0.65
512,0.447552,0.28125,0.65
513,0.448427,0.280702,0.65
514,0.449301,0.280156,0.65
515,0.450175,0.281553,0.65
516,0.451049,0.281008,0.65
517,0.451923,0.280464,0.65
518,0.452797,0.281853,0.65
519,0.453671,0.28131,0.65
520,0.454545,0.282692,0.65
521,0.45542,0.28215,0.65
522,0.456294,0.283525,0.65
523,0.457168,0.284895,0.65
524,0.458042,0.28626,0.65
525,0.458916,0.285714,0.65
526,0.45979,0.285171,0.65
527,0.460664,0.28463,0.65
528,0.461538,0.284091,0.65
529,0.462413,0.283554,0.65
530,0.463287,0.283019,0.65
531,0.464161,0.284369,0.65
532,0.465035,0.283835,0.65
533,0.465909,0.283302,0.65
534,0.466783,0.282772,0.65
535,0.467657,0.282243,0.65
536,0.468531,0.281716,0.65
537,0.469406,0.281192,0.65
538,0.47028,0.282528,0.65
539,0.471154,0.282004,0.65
540,0.472028,0.281481,0.65
541,0.472902,0.280961,0.65
542,0.473776,0.280443,0.65
543,0.47465,0.281768,0.65
544,0.475524,0.283088,0.65
545,0.476399,0.282569,0.65
546,0.477273,0.283883,0.65
547,0.478147,0.283364,0.65
548,0.479021,0.282847,0.65
549,0.479895,0.282332,0.65
550,0.480769,0.283636,0.65
551,0.481643,0.284936,0.65
552,0.482517,0.286232,0.65
553,0.483392,0.287523,0.65
554,0.484266,0.288809,0.65
555,0.48514,0.29009,0.65
556,0.486014,0.289568,0.65
557,0.486888,0.290844,0.65
558,0.487762,0.290323,0.65
559,0.488636,0.289803,0.65
560,0.48951,0.289286,0.65
561,0.490385,0.290553,0.65
562,0.491259,0.290036,0.65
563,0.492133,0.28952,0.65
564,0.493007,0.29078,0.65
565,0.493881,0.292035,0.65
566,0.494755,0.293286,0.65
567,0.495629,0.294533,0.65
568,0.496503,0.295775,0.65
569,0.497378,0.297012,0.65
570,0.498252,0.296491,0.65
571,0.499126,0.295972,0.65
572,0.5,0.295455,0.65
573,0.500874,0.296684,0.65
574,0.501748,0.297909,0.65
575,0.502622,0.297391,0.65
576,0.503497,0.296875,0.65
577,0.504371,0.298094,0.65
578,0.505245,0.297578,0.65
579,0.506119,0.297064,0.65
580,0.506993,0.296552,0.65
581,0.507867,0.296041,0.65
582,0.508741,0.295533,0.65
583,0.509615,0.295026,0.65
584,0.51049,0.294521,0.65
585,0.511364,0.295726,0.65
586,0.512238,0.295222,0.65
587,0.513112,0.294719,0.65
588,0.513986,0.294218,0.65
589,0.51486,0.293718,0.65
590,0.515734,0.29322,0.65
591,0.516608,0.294416,0.65
592,0.517483,0.295608,0.65
593,0.518357,0.29511,0.65
594,0.519231,0.296296,0.65
595,0.520105,0.297479,0.65
596,0.520979,0.29698,0.65
597,0.521853,0.298157,0.65
598,0.522727,0.299331,0.65
599,0.523601,0.300501,0.65
600,0.524476,0.301667,0.65
601,0.52535,0.301165,0.65
602,0.526224,0.300664,0.65
603,0.527098,0.300166,0.65
604,0.527972,0.299669,0.65
605,0.528846,0.299174,0.65
606,0.52972,0.29868,0.65
607,0.530594,0.299835,0.65
608,0.531469,0.299342,0.65
609,0.532343,0.298851,0.65
610,0.533217,0.298361,0.65
611,0.534091,0.297872,0.65
612,0.534965,0.297386,0.65
613,0.535839,0.2969,0.65
614,0.536713,0.298046,0.65
615,0.537587,0.299187,0.65
616,0.538462,0.300325,0.65
617,0.539336,0.301459,0.65
618,0.54021,0.300971,0.65
619,0.541084,0.300485,0.65
620,0.541958,0.3,0.65
621,0.542832,0.299517,0.65
622,0.543706,0.299035,0.65
623,0.54458,0.298555,0.65

aurc_normalised,0.224185
null_flat_risk,0.298555
improvement_over_null,0.07437
